question,generated_sql,answer,correct,notes
"How many loads were delivered in the last full month available in the data?",,,,"Run through ai/ask_claude.py; verify against the stated January 2025 assumption."
"Which shipper had the highest total book price?",,,,"Assumption: all modeled loads."
"What is the average book price per load by pickup state?",,,,"Assumption: all modeled loads."
"What are the top 5 lanes by number of delivered loads?",,,,"Use delivered loads only."
"Which carrier moved the most loads into Texas?",,,,"Assumption: delivered loads into TX."
"How does the average book price compare between intrastate and interstate loads?",,,,"Assumption: all modeled loads."
"For the shipper with the most delivered loads, how did monthly volume change across the period covered by the data?",,,,"Group delivered loads by delivery month."
"Among lanes with at least 10 delivered loads, which had the highest average book price?",,,,"Use delivered loads for both threshold and average."
"Which equipment type has the highest cancellation rate?",,,,"Stakeholder question."
"Which pickup state generated the highest total P&L on delivered loads?",,,,"Stakeholder question."
